,name,grape_variety,description
263,Saint-Véran 2018 Les Vignerons des Grandes Vignes,Chardonnay,"Saint-Véran is in the southern part of Burgundy overlapping the Mâconnais and Beaujolais districts. This wine is produced by an outstanding co-operative. This is a lively wine showing delicious aromas of peach and acacia blossom. Fantastic when young, it has the potential to develop a more honeyed, complex palate with age. This delicate and elegant wine would be a great match with seared scallops or mushroom ravioli."
264,Le Difese 2013 Tenuta San Guido 2018,Cabernet Sauvignon,"""This 70-30 blend of Cabernet Sauvignon and Sangiovese would indeed pair perfectly with game dishes such as fettuccine in rabbit sauce or wild boar sausage thanks to that extra touch of acidity that cuts through any fattiness. Dried cherry, blackberry, leather and tobacco enhance the wine's medium build and silky texture. There is a distant touch of overripe fruit at the very beginning. Le Difese is aged for 12 months in both French and American oak. Anticipated maturity: 2013-2018"". 89 points. Monica Larner, The Wine Advocate."
265,Chateau De Crezancy 2019,Sauvignon Blanc,This is a beautiful expression of crisp citrus and peach flavours heightened by floral notes and balanced by a fine mineral finish.
266,Domaine Roger Neveu 'Cóte des Embouffants' Sancerre 2019,Sauvignon Blanc,"The Neveu family’s roots in the Loire run deep. Neveus have been recorded in the village of Verdigny since the twelfth century. That’s right in the heart of Sancerre – where their name is now a byword for quality. And like the Neveus, the vineyard this wine comes from is steeped in history. Côtes des Embouffants was singled out by Abbot Poupart in his 1777 history of Sancerre. He said that 'the Bouffants hillside is one of the best I know in our Sancerre area’ – and nearly 250 years later, his assessment still holds true. The chalky soils are perfect for vibrant, crisp Sauvignon, and the flavours really leap out of the glass. It’s intensely refreshing with citrus and lime acidity, and a hard-to-put-your-finger-on complexity from six months of lees ageing. Ideal with a classic goat’s cheese tart."
267,"Chapel Down Rosé 2019, England",Pinot Noir,"Chapel Down, official supper to 10 Downing Street and The Cambridge and Oxford Boat Race, has encapsulated English summertime perfectly by plucking grapes from Kent and crafting this balanced rosé. Its soft red fruits meet floral notes and a refreshing finish. This is the ideal barbecue wine."
268,Nicolas Feuillatte NV Champagne 150cl Magnum,Chardonnay,A light and fruity Champagne with fine discreet bubbles and subtle overtones of apples and pears. Has undergone four years cellar ageing.
269,Drappier Premier Cru Champagne,Pinot Noir,"It’s a household name in France – but Drappier is still a relatively well-kept secret on this side of the Channel. The house is 200 years old, with some of the oldest and most extensive cellars in Europe. They’re the only ones to have survived unscathed through the world wars and the fires which swept the region soon after. But they don’t rest on their history. They have a really forward-thinking approach based on sustainability, making carbon-neutral fizz. It’s from Premier Cru vineyards – consistently rated in the top 90% in the region for quality. Fresh and intense – it tastes of pear and vanilla. It’s the perfectly plush glassful for fans of rich, toasty Champagne. Of course, it’s an ideal aperitif, but for a high-low option it’s fantastic with fried chicken."
270,"Bollinger Special Cuvée, Champagne",Chardonnay,"Think Bolly – think Bond. Or, rather less prosaically, Absolutely Fabulous. Bollinger has glitzy associations, but beneath the ritz lies seriously high-quality fizz. Unusually for a Champagne, where richness and toasty flavours are usually the result of ageing, Bollinger uses oak to ferment its base wines so they have a roundness, spiciness and creamy texture. Also unusually for Champagne, 75% of the grapes used for this Brut NV are grown by them in vineyards which are nearly all Grand and Premier Cru. It means the fruit in the bottle is the best of the best – so it’s no wonder that Bollinger has a bit of a cult following. Ripe. Buttery. Full. The lush texture underpins apple and pear flavours. It’s 60% Pinot Noir, giving the wine great structure, making it ideal with sushi or sashimi."
271,Louis Roederer Brut Premier Champagne,Chardonnay,"From the maker of Cristal, a deliciously rich Champagne, with an overt fruitiness and nutty, yeasty notes. A long, complex and rewarding finish is a hallmark of the house style."
272,Lanson 'Le Rosé' Brut Champagne,Chardonnay,"Lanson made one of the first ever rosé Champagnes. 60 years later, they've perfected their recipe. The Grande Marque's signature rosé is a delightful salmon pink. It's well-rounded and fresh, with intriguing aromas of roses and red fruits. It makes an ideal partner to delicate white meat dishes, or even fresh fruit desserts."
273,Veuve Clicquot 'La Grande Dame' 2008 Champagne,Chardonnay,"Named after the 'Grand Lady', in tribute to Madame Clicquot, 'La Grand Dame' is the flagship and pinnacle of Veuve Clicquot's style. Elegant, refined and delicate, it's a perfect homage to the role she played in the formative years of the Champagne house. A fine accompaniment to sea bass."
274,Pol Roger 2012/13 Champagne,Chardonnay,"Pol Roger reserve their declarations of a vintage for years in which all the climatic, viticultural and winemaking components come together for the making of the finest Champagne."
275,"Chapel Down Brut, England",Pinot Noir,"Chapel Down is the UK’s largest winemaker – and one of its best. Even ten years ago, English wine wasn’t something any wine lover gave much time to. Its thanks to pioneers like Chapel Down that that’s all changed and English wine has gained the recognition it deserves. Their vineyards are ideally positioned in the south-east, with HQ among the oast houses, deep in picturesque East Sussex. Here, the chalk soils and balmy climate are ideal for making crisp wines. It’s made using the laborious and expensive ‘traditional method’, standard in Champagne. But though it’s made from the same grapes – Chardonnay and Pinot Noir – these are altogether zestier bubbles. Apple. Lemongrass. Quince. It’s fresh, fruity and really moreish. Perfect to cut through the crunchy batter of fish and chips."
276,"Shaw and Smith 'M3' Chardonnay 2019, Adelaide Hills",Chardonnay,"Shaw and Smith began in 1989 when cousins Martin Shaw and Michael Hall Smith decided to realise a dream to make wine together. Their aim was to make exciting, refined wines and they specialise in Sauvignon Blanc, cool climate Shiraz and this single vineyard Chardonnay. ""This beautiful Chardonnay gets better with each vintage. It's a gorgeously subtle white wine with a core of lemony fruit and just a hint of very smart, powdery oak."" Max Allen, The Weekend Australian. Lightly chill and drink over the next five years with roast pork."
277,Alamos Uco Valley Chardonnay 2019/20,Chardonnay,"The grapes for Alamos are grown at an altitude of between 3,000 and 5,000 feet where the temperature variation allows the grapes to grow slowly developing more flavour. Hand harvesting and sorting ensure only the best grapes are used to make the wine. The Alamos Chardonnay from the Uco Valley has a fine array of bright fruit flavours including lemon, ripe apple and peach. There are further notes of tropical fruit and a touch of toasty oak. The flavours here will work brilliantly with grilled chicken flavoured with a touch of spice."
278,St Clair 'Wairau Reserve' Sauvignon Blanc 2018 Marlborough,Sauvignon Blanc,"Saint Clair's range of 'reserve' Sauvignons have been made from top-quality vineyards within a specific region, in order to showcase the effects of terroir. Fermented with selected yeasts in 100% stainless steel at cool temperatures for maximum varietal impact. Displaying subtle fragrances of honeysuckle, powerful passion fruit and gooseberry flavours on the nose, which develop into blackcurrant leaf, lime and ripe nettles on the palate. Full, rich and firm. An ideal partner for sophisticated seafood dishes such as salmon or seared scallops."
279,"Oyster Bay Sauvignon Blanc 2020, Marlborough",Sauvignon Blanc,"Oyster Bay has been an award-winning gold-standard Marlborough Sauvignon since its very first vintage, and it’s only got better and better. It was even formerly named the ‘Best Sauvignon Blanc in the World’ – and they have the name recognition to prove it. It’s really no surprise then that their Sauvignon is textbook Marlborough. Big. Fruity. Tropical. To say it’s mouth-wateringly refreshing is an understatement – the smell of gooseberries and lime will hit you the minute you unscrew the bottle. It’s really versatile – delicious as a glassful on sofa, for parties or with a flaky goat’s cheese tart."
280,"Saint Clair Pioneer Block Pinot Noir 2019, Marlborough",Pinot Noir,"Saint Clair Pioneer Block wines are made from small parcels of outstanding fruit identified by our winemaker. Fruit for this wine was sourced from Saint Clair's own vineyard at Doctor's Creek, and blended with a small amount from the Southern Valleys to add complexity. Bright ruby in colour, aromas of raspberry and plum are complemented by a touch of spice. A luscious and soft palate with flavours of redcurrant, cherries and an added warmth from ageing in oak barrels. This is perfectly matched with tuna or beef fillet with mushrooms and will cellar for the next two to five years."
281,"Dog Point Sauvignon Blanc 2019, Marlborough",Sauvignon Blanc,"James Healy and Ivan Sutherland are Sauvignon Blanc experts with over 50 years of winemaking experience between them. After spending a decade at Cloudy Bay, they began making this Sauvignon from Sutherland's vineyards, which were planted in the '70s and '80s. This vine age makes for a unique complexity in their wine. As a result, it's long been the darling of critical praise. It has plush notes of passionfruit and citrus, and a saline acidity. Try it with fresh seafood."
282,"Escarpment 'Kiwa' Pinot Noir 2016, Martinborough",Pinot Noir,"Pinot Noir superstar Larry McKenna's 'Kiwa' Pinot Noir is a perfumed, spicy red that emits attractive notes of red cherry and raspberry. Its snappy tannins and succulent acidity balance this powerful Pinot perfectly. James Suckling gave this vintage 96 points."
283,"Catena Chardonnay 2019, Mendoza",Chardonnay,"A blend of grapes from three high altitude vineyard sites, La Pirámide, Domingo and Adrianna, creating a wine of unique character that has balance, concentration and a strong varietal identity. Showing notes of mango, banana and apple, with a hint of sweet spice and wet stone minerality. Full yet clean on the palate, with pear and fig fruit flavours rounded off with fresh, crisp acidity. Excellent with roast chicken or gammon dishes."
284,"Vasse Felix 'Filius' Chardonnay 2019, Margaret River",Chardonnay,"Although Vasse Felix almost single-handedly put Margaret River on the world map, only 7% of the region's wines leaves Australia. Luckily, we've just secured 250 cases of its 'Filius' Chardonnay. Complex hints of honey, pineapple, lemon sherbert and a hint of ginger lead a citrus-lined acidity."
285,Puligny-Montrachet 2017 Domaine Alain Chavy,Chardonnay,"Many regard Puligny-Montrachet as the finest expression of Chardonnay. Not just the best of Burgundy - but the best in the world. Domaine Alain Chavy is an expert in the art, plucking grapes from 42-year-old vines and ageing the wine for a total of 18 months in oak AND steel in 18-feet-deep cellars. This resulting 2015 vintage benefits in its delightful bouquet of apple blossom, gooseberry, slate and cream."
286,"Château Citran 'Moulin de Citran' 2010, Haut-Médoc",Cabernet Sauvignon,"Château Citran has stood strong since the 14th century. The Moulin de Citran is its second wine. This means that it's made from slightly younger vines than the Grand Vin, but with just as much care. An excellent freshness, balancing acidity, ripe fruit flavour and a great potential to improve with age. It has perfumed notes of raspberry, black cherry and strawberry, a great texture and a long finish. Try this with pork chops."
287,Selborne Rosé Brut,Chardonnay,"Selborne captures all the subtle flavours that make English sparkling wine so unique. On the palate, it is wonderfully crisp with delicate summer berry fruits balanced by a hint of lemon zest and a deliciously creamy finish."
288,"Castaway Island Chardonnay 2018, Gisborne",Chardonnay,"Years ago, New Zealand was a treacherous place to reach by sea. It's been responsible for countless shipwrecks. Premium Chardonnay is the Kiwi castaway. Overshadowed by Sauvignon Blanc, it's not given the focus it deserves on the wine-world stage. So it's still under the radar. And you can taste this world-beating expertise at a snip. You're in for a punchy cocktail of tropical fruit and melon, all balanced by zesty acidity. It shows the best of what's unique to Gisborne. You'll truly get lost in the abundance of fruit flavours in this. And you'll just find it here."
289,Miss Lucy Sauvignon Pinot Gris,Sauvignon Blanc,Crisp and fresh citrus flavours of grapefruit are to the fore in the elegant and fresh wine. A perfect match for seafood the fruitiness gives way to a fine mineral finish.
290,"Kutch Pinot Noir 2016, Sonoma Coast",Pinot Noir,"Jamie Kutch fled to California to make wine just 14 years ago. But he's already swimming in praise. This 2016 vintage alone won a huge 93 Wine Enthusiast points. Its concentrated flavours of black cherry, vanilla and herbs is balanced by a cooling freshness."
291,"Bird in Hand 'Two in the Bush' Chardonnay 2019/20, Adelaide Hills",Chardonnay,"Bird in Hand's winemaker, Kym Milne MW, was the second Australian to ever become a Master of Wine. He was also named Australian Winemaker of the Year two years in a row by Winestate magazine. This is made from Bird in Hand's cool-climate vineyards and is a chance to taste their expertise at a lower price. This is a textured Chardonnay, with notes of stone fruits, nougat, hazelnut and sweet spice. Try it with roast chicken."
292,"Cono Sur Bicicleta Pinot Noir 2019, Chile",Pinot Noir,"Cono Sur has been named IWSC ‘Chilean Winery of the Year’ two years in a row. It’s rare for a winery to win it in consecutive years – and the British public have given it the seal of approval too. It’s the UK’s most popular Pinot Noir. And it’s as sustainable as it is delicious. Everything Cono Sur do is designed to be kind to the planet. They use geese as pest control and bicycles to get around the vineyards – and the vines reward them with fruit which is extra-delicious. It’s light. It’s fresh. It’s vibrantly fruity. It’s a really easy-drinking Pinot Noir, full of juicy cherry, blackberry and plum flavours. Delicious with charcuterie or fish dishes."
293,Domaine des Patureaux Pouilly Fume 2019,Sauvignon Blanc,"Domaine Patureaux is boutique winemaking at its best. On this small, family-owned estate, the father-and-son team has created a powerful, refreshing Pouilly-Fumé with bold aromas of pear, peach and apricot, a long, rich finish and a delicious smokiness."
294,Doctor's 9.5% Sauvignon Blanc 2019,Sauvignon Blanc,"The Doctor (PhD, not GP) behind this Sauvignon uses pioneering vineyard techniques to craft the best hallmarks of Marlborough at just 9.5% alcohol. With a zesty palate of gooseberry, nettle and fresh grass, it's the perfect picnic wine."
295,"Framingham 'Nobody's Hero' Sauvignon Blanc 2019, Marlborough",Sauvignon Blanc,"Framingham does things differently. This Marlborough estate holds an outdoor rock concert every harvest. So, as you can imagine, their approach to winemaking is a little unconventional. We love the result. To preserve complexity, each parcel of fruit behind this bold Sauvignon is picked from several sites on Framingham's estate and vinified separately. The result is zesty Sauvignon full of rich guava, apple-skin and pineapple flavours."
296,Devil's Creek 'Barrel Select' Sauvignon Blanc 2019,Sauvignon Blanc,"This isn’t your standard Kiwi Sauvignon Blanc. Winemaker Michele Pedron knows his crisp, refreshing whites inside out. He’s worked all over the world specialising in exactly the sort of mouth-watering whites New Zealand is known for. He also worked in Sancerre – inspiring him to try a barrel aged Sauvignon. It’s a style more commonly found in France, but his gamble more than paid off. Barrel ageing gives the wine more weight and a roundness of texture. It’s a moreish contrast to the textbook Kiwi Sauvignon tropical, gooseberry flavours, adding a sweetly spicy edge. Delicious. The subtle smokiness makes this an interesting food wine – it’s incredible with usually tricky to pair smoked fish."
297,Larry Cherubino ‘Folklore’ Chardonnay 2019,Chardonnay,"In the mid-1800s, the ancestors of the Cherubinos planted the first vines on the Frankland River. The winemaking family are in the same spot to this day. They're now one of West Australia’s most renowned producers and were named Best Value Winery in 2017 by the country's leading wine critic, James Halliday. Bright and creamy, expect citrus and white peach notes. A divine accompaniment with seafood."
298,"Luis Felipe Edwards Elegido Sauvignon Gran Reserva, Leyda Valley",Sauvignon Blanc,"Aromas of white flowers and gentle honeyed notes emerge from the bouquet, inviting you to enjoy its zippy citrus palate. The finish lingers beautifully after each sip - delivering mouthwatering freshness and sophistication at once."
299,De Bortoli Tumbarumba Chardonnay 2018,Chardonnay,"Although it planted its first vines less than 40 years ago, Tumbarumba is one of the most promising regions in Australia. This single-vineyard Chardonnay is made from one of the two oldest vineyards there. It's cool-climate brilliance wins buckets of gold medals on home soil with its complex palate of stone fruits, cream, brioche and a flinty acidity."
300,"Rocklin Ranch Chardonnay 2018, Monterey",Chardonnay,"Rocklin Ranch has sustainability at its heart. Situated in the volcanic foothills of Monterey, their winery is powered by a single wind turbine. They take their name from the ancient river rocks deposited around their vineyards. Monterey’s reputation for distinctive white wines is certainly reflected in this first-class bottle. Classic Chardonnay lovers, this one’s for you. Bright and elegant, this has notes of red apple, pear and lemon. Pair with a grilled chicken caesar salad."
301,Jordan Chardonnay 2013 Stellenbosch,Chardonnay,"Grown on the cooler south and east-facing slopes of Stellenbosch, this Chardonnay is fermented in Burgundy-style French oak barriques, around 50% new oak. After 9 months' maturation, it is blended with a small amount of unoaked wine for added citrus character. A rich and powerful wine, brimming with glossy, honeyed apple and lemon fruit, with hints of hazelnut. The deft use of oak ageing has added aromas of buttered toast, and a roundness to the palate. Best enjoyed with roast poultry."
302,"Château Bel-Orme Tronquoy de Lalande 2006 Magnum, Haut-Médoc",Cabernet Sauvignon,"The family behind the wine also owns Château Rauzan-Gassies - a winery recognised as a 'Second Growth' in the legendary 1855 Bordeaux classification. Aged in oak for 12 months and developing in the magnum bottle for 12 years - this is now a garnet-red wine with notes of red fruit, spice and cedar. Helpful hint: a wine of this maturity needs a bit of extra care. Drive the corkscrew in a little more than usual and ease the cork out gently. Decant it for at least an hour before serving."
303,"Château Senejac 2016, Haut-Médoc",Cabernet Sauvignon,"Château Sénéjac is a prime location for perfectly ripened Cabernet Sauvignon grapes. The esteemed Cordier family add dashes of Merlot, Cabernet Franc and Petit Verdot to perfect the blend before ageing it in oak for a year. This results in expressive notes of black cherries and blackberries, hints of vanilla and well integrated tannins. James Suckling gave this 2016 vintage a 92-93 point score."
304,"Awatere River Single Vineyard Sauvignon Blanc 2018, Awatere Valley",Sauvignon Blanc,"This Sauvignon is 100% sustainably produced, vegan friendly and most importantly delicious. Crafted from a single Awatere Valley vineyard, it has greater length and elegance than your average Marlborough Sauvignon. Enjoy concentrated gooseberry and lime zesty flavours along with a stone-like minerality"
305,"Indomita 'Gran Reserva' Pinot Noir 2019/20, Casblanca Valley",Pinot Noir,"Chile's Casbalanca Valley has the perfect climate for ripening the infamously tricky Pinot Noir grape. A long, warm ripening season fills the fruit with delicious juice. You can taste the benefits in this luscious wine's flavours of strawberry, coffee and vanilla. Pair a glass of this with thinly-sliced Jamón ibérico."
306,"La Fleur Godard 2016, Côtes de Bordeaux",Cabernet Sauvignon,"Côtes de Bordeaux is made up of five lesser-known Bordeaux regions. These labels don't claim huge sums at auction houses. But if you're looking for a wine for the dinner table, not the library, you're in for terrific value. This is made by a member of the celebrated Thienpont family. It's fresh, fruity and wonderfully smooth. Expect notes of ripe red fruit, aromas of spice and a long, smooth finish."
307,"Saint Clair 'Pioneer Block' Cabernet Merlot 2019, Hawkes Bay",Cabernet Sauvignon,"Under the watchful eye of winemaker Hamish Clark, Saint Clair make it their mission to create internationally renowned wines from unlikely small parcels. For this wine, both the Cabernet Sauvignon and the Merlot grapes were sourced from a single vineyard in Hawkes Bay. Discover notes of plums, blackcurrant and blackberries. Enjoy with slow-cooked beef."
308,"Collemassari Grattamacco Rosso 2019, Bolgheri",Cabernet Sauvignon,"The Grattamacco estate was founded in Bolgheri in 1977. It was part of the 'Super Tuscan' movement that experimented with blending non-indigenous grapes with Sangiovese. Today, Super Tuscans are some of the most in-demand wines in the world. They've been continuously improving the Rosso over more than 38 years – and their expertise really shows. It's a blend of Cabernet Sauvignon, Cabernet Franc, Merlot and Sangiovese that's remarkably drinkable in its youth. It’s a dense, powerful wine with ripe tannins, aromas of dark fruits and chocolate and an excellent structure. Pair it with a hearty Tuscan stew."
309,"Escarpment 'Kupe' Pinot Noir 2018, Martinborough",Pinot Noir,"Escarpment was born from winemaker Larry McKenna's passion for the Martinborough wine region. After years of extensive research, he set up his own winery. He believes that the area is ideal for growing Pinot Noir. In his rendition of this delicate grape, expect fresh flavours and soft tannins. Wonderful with roast chicken."
310,"Jim Barry ‘First Eleven’ Cabernet Sauvignon 2015, Coonawarra",Cabernet Sauvignon,"The late Jim Barry is a godfather of Australian wines. His estate is now in the hands of his grandson, Tom, and was named Winery of the Year 2020 by Australia’s leading wine critic, James Halliday. Cabernet thrives in Coonawarra’s cool climate. So the Barry family planted vines in the Penola Cricket Ground here in 1999. The 'First Eleven' is only made in exceptional vintages, as a tribute to Coonawarra’s cricketing heroes. Expect fantastic notes of black fruit, tobacco and dried herbs. Sublime with braised beef."
311,"Yalumba 'The Menzies' Cabernet Sauvignon 2015, Coonawarra",Cabernet Sauvignon,"In 1961, Sir Robert Menzies said that Yalumba's Galway Vintage was the best Australian red he'd ever tasted. So they decided to make one even better and name it after this former Australian Prime Minister. They've done the name proud. This is structured and complex, with intense notes of red berries and a hint of oak influence. It's truly Coonawarra Cabernet at its best. Drink with tender beef short ribs."
312,"Lismore Chardonnay 2018, Cape South Coast",Chardonnay,"Samantha O'Keefe is one of South Africa's most exciting winemakers. Sadly, her estate burned down in 2019. With the help of the South African wine industry, she's making a comeback. This was the final vintage made before the fire. And as her cellar is also no more, what we have are some of the last cases left. This is a Burgundy-style Chardonnay, with notes of citrus, brioche, honey and walnut. Taste this with creamy pasta."
313,Domaine Faiveley Nuit St Georges 1er Cru,Pinot Noir,"Nuits-Saint-Georges is world-renowned for its complex Pinot Noir. This is made on premier cru vineyards in the appellation by a domaine that's made it since 1825. Expect aromas of spice, wood and toast that give way to flavours of blackberry. It's fantastic served at 14-16 degrees with turkey. Drink now or develop for a decade."
314,Alphonse Mellot 'Les Demoiselles' Organic Sancerre Rouge 2018,Pinot Noir,"The Mellots have a rich 507-year-history in Sancerre. One member was even appointed as Louis XIV’s official wine advisor. Today, Alphonse Sr and Alphonse Jnr, the 18th and 19th generations make this red biodynamically and organically. It has hints of raspberries, cherries, vanilla and cinnamon. A great alternative to red Burgundy that's fantastic with duck. Serve at room temperature."
315,J Vineyards Russian River Valley Pinot Noir 2017,Pinot Noir,"Winemaker Nicole Hitchcock's aim with J Vineyards is to nurture cool-climate varieties in the sun-drenched Russian River Valley. Here, the delicate Pinot Noir grape is handled with great care to produce an outstanding wine. Expect notes of blueberry, raspberry, dark cherry and mushroom. Exquisite with turkey and cranberry sauce."
316,Rémi Seguin Morey-Saint-Denis 2018,Pinot Noir,"What Morey-Saint-Denis lacks in size, it more than makes up for in character. This village is known for its complex red wines. And this intriguing, perfumed red Burgundy is among the best we've found. Expect notes of raspberry and kirsch, with a hint of aniseed. A delicious alternative to Gevry-Chambertin at great value. Try it with pork."
317,Moët Grand Vintage Rose 2012,Pinot Noir,"This is only made during exceptional years. And 2012 marks Moet & Chandon's 43rd Grand Vintage Rosé. The 2012 vintage was marked excellent Pinot Meunier, which stands out in notes of blood orange, cherry and grapefruit. Extraordinary on its own or with dessert."
318,"Cloudy Bay Sauvignon Blanc Magnum 2020, Marlborough",Sauvignon Blanc,"Cloudy Bay is widely credited with introducing New Zealand wines to the world with their signature Sauvignon Blanc. The 2020 vintage saw near-perfect vineyard conditions, producing a bright and focused wine. Expect to find notes of ripe grapefruit, lime and passionfruit. Wonderful with salmon and asparagus."
319,Veuve Clicquot Extra Brut Extra Old Champagne,Pinot Noir,"Made from fruit souced entirely from Grand Cru and Premier Cru vineyards, this is an exceptionally high-quality Champagne, which has undergone extended cellarage. Supremely refined and complex, with notes of flowers, dried fruit and toasted brioche."
320,"Château Branaire-Ducru 2014, St Julien",Cabernet Sauvignon,"If you’re looking to discover St Julien, look no further than Château Branaire-Ducru. They’re one of the more affordable estates in this otherwise pricey region. But that doesn’t mean they hold back on flavour. Expect a combination of ripe cherries and raspberries, as well as aromas of lavender and tobacco. Budding collectors take note: this will age excellently for 12 years. Enjoy at room temperature with an equally smoky truffle pasta."
321,"Greywacke Chardonnay 2016, Marlborough",Chardonnay,"After 25 years as head winemaker at Cloudy Bay, Kevin Judd founded Greywacke with his wife, Kimberly. And together they create fantastic Chardonnay. It has ripe notes of pineapple, grapefruit, red apple, hazelnut and spice. Try this with fish cakes."
322,"Stag's Leap 'Hands of Time' Chardonnay 2018, Napa Valley",Chardonnay,"Stag’s Leap shocked the world and beat the finest Bordeaux in the legendary Judgment of Paris in 1976. Ever since, theirs have become some of the most collected wines in the world. The Hands of Time is your chance to taste what all the fuss is about at a smaller sum. This is a medium-bodied, soft Chardonnay with hints of pear, pineapple, orange blossom, and a touch of oak on the finish. It’s exceptional with buttery pasta."
323,"Cloudy Bay Sauvignon Blanc 2020, Marlborough",Sauvignon Blanc,"Cloudy Bay's huge success is largely down to groundbreaking Sauvignon Blanc. This is one of New Zealand's most celebrated wines and a real benchmark for quality. And remarkably, it will develop with age over the next five years. You can say the same for very few Sauvignon Blancs. Expect a complex and layered Sauvignon, with notes of ripe lemon, lime, passionfruit, peach and freshly cut grass. Serve this chilled with salmon."
324,Santa Rita 120 Sauvignon Blanc 2020 Central Valley,Sauvignon Blanc,"Santa Rita's 120 range places the emphasis firmly on lively, up-front fruit flavours, and great value. Maximum fruit character is obtained by hand-harvesting and cold fermentation of the Sauvignon grapes, and the addition of 2% Semillon helps keep the blend well-rounded. Crisp and refreshing, this wine offers an abundance of grapefruit and lemon fruit flavours, delivered in a softer, more tropical fruit texture. A great party wine, endlessly gluggable on its own, or alongside seafood."
325,"Silver Ghost Cabernet Sauvignon 2020, Central Valley",Cabernet Sauvignon,"Quality and cost aren’t necessarily linked. This wine is made for us by one of the most prestigious winemaking families in Chile, the Arestis. Their winery is 100% female owned, and they have and instinctive understanding of how to get the very best out of their grapes, while still keeping prices wallet-friendly. Chilean wine is always incredible value – but it’s the Arestis’ skill which makes this particular wine such great quality at such a great price. It’s from the Central Valley which is cool but has loads of sunshine – perfect conditions for fresh, juicy Cabernet Sauvignon like this. It’s really black-fruity – bursting with blackberry and plum flavours. With a lovely silky texture, it’s seriously drinkable red which makes it the ideal party wine. It’s great alone – or with burgers."
326,"Ségla 2012/13, Margaux",Cabernet Sauvignon,"Ségla is the second wine of the famous Margaux second growth Château Rauzan-Ségla. More accessible than the first wine, this is does not receive as much new oak, so tannins are riper and smoother making the Ségla ripe and ready for drinking. It is a wine with excellent concentration and poise. Showing fragrant notes of ripe fruits, violets and cedar with beautiful length and delicate tannins. With great structure and balance and a long finish A great example of good value Margaux drinking well now, this wine will also soften further and improve over the next 7-8 years"
327,Nicolas Potel Bourgogne Chardonnay 2018,Chardonnay,"There's nothing that gets your tastebuds tingling like an insider-secret bargain. The bottle is simply labelled as 'Bourgogne Chardonnay', but it's a blend of seriously high-quality fruit from mature vines in prime vineyards in the Mâcon, Côte Chalonnaise and the Côte d'Or. Unusually, it's not oaked at all. This means its incredible cirtussy freshness is front and centre. It's a really delicious wine. Apple. Blossom. Marzipan. A long, almondy, slightly creamy finish. It tastes far more expensive than it is, which is always a winner in our book. It's guaranteed to transform a humble chicken salad from simple to spectacular."
328,Haut Poitou Sauvignon Blanc 2019 Pierre Sauvion,Sauvignon Blanc,"Covering an area to the north of Poitiers, in the southeastern part of the Loire, Haut Poitou has been a well known winemaking territory for centuries, but was created an AOC as recently as 2011 as a result of its wines' notable levels of quality. A crisp, dry and well structured white reminiscent of the classic Sauvignons of the central Loire Valley. Full of incisive citrus fruit character, lifted herbaceous aromatics and cleansing acidity. Drink with fresh seafood."
329,Château de Pennautier 2017 Cabardès,Cabernet Sauvignon,"This release from Château de Pennautier has been crafted by talented winemaker, Bertrand Seube, formerly of the world-famous Château Mouton-Rothschild! So, you can be assured you're in exceptionally talented, experienced hands with this release of Château de Pennautier. This ripe Cabardès has a charmingly rustic palate of mulberry, raspberry and soothing spices. It's lengthy finish makes it a stellar companion for richly-flavoured food."
330,L'Etoile de Begude Chardonnay 2019 Limoux,Chardonnay,"Domaine Begude is a small hilltop domaine very close to the town of Limoux, owned and managed by British couple James and Catherine Kinglake. The area is known for its relatively cool climate and hence its ability to produce crisp and aromatic Chardonnay, with characteristics to rival fine Burgundies, but at significantly more palatable prices. Enjoy with butter roasted chicken"
331,Marquis de Pennautier Chardonnay Viognier 2019 PGI Pays d'Oc,Chardonnay,"From the estate of the historic 17th century Château de Pennautier in Cabardès, this is a bright and fruity Chardonnay-Viognier blend. Expect notes of apple and citrus from the Chardonnay, and hints of apricot from the Viognier. Try with meatier fish and Mediterranean-inspired dished such as ratatouille."
332,Laurent Perrier La Cuvee Magnum Champagne,Chardonnay,"Laurent Perrier La Cuvee NV Champagne Magnum 150cl is Laurent-Perrier's signature champagne, so called as it is crafted using the purest grape juice obtained during the gentle first pressing. La Cuvée defines the House style and serves as an ideal introduction to our wines with its characteristic lightness, freshness and elegance."
333,Moët & Chandon Brut Impérial NV Champagne,Chardonnay,"Moët is the ultimate celebratory fizz. Not only are they credited with inventing that louche party staple, the Champagne pyramid; the celebratory ‘spray’ of Champagne familiar from sports podiums the world over is also down to Moët. At Le Mans in 1967 the winner was handed a jeroboam of their Brut NV – which he promptly used to drench the crowd. From that moment, Moët & Chandon has been inextricably linked with celebration – with explosions of joy. With moments which deserve a truly great Champagne. But not only does their famous label put you in a party mood – it’s also a fantastic wine. It’s really crisp and refreshing, but rich and ripe, full of stone fruit flavours too. Think peach and lemon zest. With briochey, biscuity aromas, it’s as decadent as it is moreish. Ideal with canapés."
