,name,grape_variety,description
27,Laurent-Perrier 'Grand Siècle' Champagne,Chardonnay,"Laurent-Perrier's deluxe cuvée, Grand Siècle, is a blend of a number of the best vintages. It has a beautifully elegant, fresh, creamy style. Gloriously fine bubbles and a slight nuttiness complete this sophisticated Champagne. Serve with canapé at a special occasion."
28,Heidsieck & Co. Monopole 2011 'Gold Top' Champagne,Chardonnay,"Any loyal Majestic customer knows that ‘Gold Top’ is shorthand for luxury-quality bubbles – at a fraction of the price of the top Champagne cuvées. Heidsieck age this wine for up to a decade before they release it. Time equals money – so this lengthy ageing is usually something only the luxury cuvées can afford. But Heidsieck are known for combining amazing quality fizz with amazing value. This long ageing means the toasty, creamy, rich flavours we love so much are dialled right up. Lemony, perfumed, with a really lush texture – the flavours will linger with you for ages. It’s real proof that good things come to those who wait. There’s nothing better to dress up fish and chips."
29,Veuve Clicquot Rosé NV Champagne,Chardonnay,"When Madame Clicquot took the reins of Veuve Clicquot, in 1815, the Champagne house was never the same again. Her legacy of excellence continues to this day. This is the newest addition to the Veuve Clicquot range. This medium bodied rosé is reminiscent of the power and finesse of the non-vintage label, with soft red-fruit notes. Match with smoked salmon or strawberries and cream for optimum enjoyment."
30,Cloudy Bay Pelorus Sparkling Brut,Chardonnay,"You'll know Cloudy Bay for their award-winning Sauvignon. But their sparkling wines are just as deserving of the spotlight. Pelorus is a Chardonnay-dominant blend made only in the best vintages. It's aged on its lees for a generous two years. This gives a nutty, elegant complexity to crisp apple flavours. Try it well-chilled with crab pasta."
31,"Jackson Estate 'Stich' Sauvignon Blanc 2019, Marlborough",Sauvignon Blanc,"It’s Marlborough Sauvignon – with a difference. Jackson Estate’s ‘Stitch’ Sauvignon Blanc is a bit of a cult favourite. It’s named after the founder John ‘Stich’ Stichbury, whose family have deep roots in Marlborough. But despite their long history, Jackson Estate have always preferred to keep production low key. They’re all about sustainably made wines, made with minimal winemaking intervention. Take this Sauvignon. It’s released six months later than other Kiwi Sauvignons. That’s because it spends extra time ageing on the lees – giving a richness and roundness to the texture. It complements the really restrained flavours, making for a more French, old-school style Sauvignon rather than the typical Marlborough tropical fruit-bomb. Gooseberry; zingy rhubarb – perfect with goat’s cheese."
32,"Definition Sauvignon Blanc 2019, Marlborough",Sauvignon Blanc,"Marlborough Sauvignon Blanc is the country’s favourite style of wine, so if we were going to introduce one to our Definition range we knew we had to bring in the big guns. There was only one man for the job – Brent Maris, the winemaker behind our bestselling Kiwi Sauvignon, The Ned. We worked with Brent to cherry pick the very best grapes from specific parcels of vines. We wanted to go big on flavour and make it so refreshing it’d make your mouth water just thinking about it. The result? It’s the very best of Marlborough in a bottle. It’s a heady mix of fresh-cut grass, elderflower and passionfruit, with textbook freshness and cirtussy flavours. It’ll sing with any tangy, dairy-based dishes. Or just by itself."
33,"Duckhorn Cabernet Sauvignon 2017, California",Cabernet Sauvignon,"Duckhorn have quickly become one of America's star winemaking names. And it's all thanks to this iconic Napa Cabernet. They've been making it since 1978 from the very best fruit of the valley. Their secret trick is blending the Cabernet Sauvignon with a dash of Merlot and miniscule amounts of Petit Verdot and Cabernet Franc. This means it's deliciously approachable in its youth but also matures excellently with age. Expect a luscious, intense wine, with notes of boysenberry and blackcurrant, and a balancing savoury streak. Try it with a beef burger."
34,Coney Pizzicato Pinot Noir 2017 Martinborough,Pinot Noir,"Grown on the Martinborough terrace north of Wellington, by winemakers Debbie Christensen and Emma Easthorpe. The chewy tannins and complex fruit aromas of Martinborough wines shine through in this particularly expressive Pinot Noir. Ripe cherry, black fruits and smoky, savoury overtones with plum and pomegranate fruits combined with spicy, toasty, complex flavours complemented by integrated chewy tannins and a long, savoury finish. Good Kiwi Pinot can be enjoyed in its youth, or over five years. An ideal match with venison, game and pasta."
35,"Mt Difficulty 'Roaring Meg' Pinot Noir 2019, Central Otago",Pinot Noir,"Roaring Meg came about almost by accident. In 2003, there was a bumper vintage. There was so much leftover fruit that the team at Mt. Difficulty saw an opportunity to try out a different style of Pinot Noir. Their Pinot vineyards in Bannockburn in Central Otago are the oldest in the area so the quality of even the excess fruit was really high. It lent itself to a Pinot Noir which was first and foremost fruity – one which was made to drink young. Roaring Meg was born. And it was such a success, they’ve been making it ever since. This is a real favourite of ours – packed with red fruity flavours. Raspberry. Red cherry. A hint of spice. Perfect with glazed ham or rustic duck cassoulet, it’s a really savoury, grown-up wine. You’ll love it."
36,Saint Clair Pioneer Block Chardonnay 2018 Marlborough,Chardonnay,"St. Clair have gone for maximum impact and expression with this Chardonnay, fermenting 100% of the grapes in a mixture of new and old French oak, before ageing the wine on for 9 months, with regular stirring to draw full character from the lees. The New Zealand trademarks of fresh and snappy peach and tropical fruits are finished with a wonderfully soft, generous texture and a biscuity edge. Rich, with plentiful amounts of pure, tropical fruit, this wine is fantastic with grilled asparagus or fish with parsley sauce."
